prePizzaGate,Review_Date,User_City,User_State,User_Country,Review_Rating,reviewCount,Is_CTR,Lon,Lat
1,01/04/12,Alexandria,VA,United States,1,1,0,-77.04341,38.8046
1,05/19/13,Arlington,VA,United States,1,1,0,-77.08629,38.8905
1,07/27/13,Bethesda,MD,United States,1,1,0,-77.09692,38.98637
1,09/19/13,Catonsville,MD,United States,1,1,0,-76.73976,39.27023
1,01/16/10,Champaign,IL,United States,1,1,0,-88.2435,40.1142
1,12/12/11,Chantilly,VA,United States,1,1,0,-77.43892,38.88675
1,02/01/11,Chicago,IL,United States,1,1,0,-87.63245,41.88425
1,04/15/12,Columbia,MD,United States,1,1,0,-76.86709,39.21106
1,06/11/16,Dallas,TX,United States,1,1,0,-96.79512,32.77822
1,03/05/11,Fairfax,VA,United States,1,1,0,-77.23374,38.87365
1,06/11/16,Grand Prairie,TX,United States,1,1,0,-97.0072,32.7477
1,10/22/10,Kailua,HI,United States,1,1,0,-157.73946,21.39688
1,02/06/11,Longmont,CO,United States,1,1,0,-105.10022,40.16394
1,06/14/13,Los Angeles,CA,United States,1,1,0,-118.2455,34.05361
1,02/06/11,Manassas,VA,United States,1,2,0,-77.47086,38.75125
1,11/05/11,Mill Valley,CA,United States,1,1,0,-122.54822,37.90774
1,08/12/16,Mount Dora,FL,United States,1,1,0,-81.64452,28.80249
1,02/15/15,Mount Rainier,MD,United States,1,1,0,-76.95891,38.93731
1,10/21/12,New Market,MD,United States,1,1,0,-77.27232,39.38279
1,10/23/12,Philadelphia,PA,United States,1,2,0,-75.16218,39.95222
1,11/21/11,Potomac,MD,United States,1,1,0,-77.20884,39.01796
1,02/21/11,Providence,RI,United States,1,1,0,-71.41199,41.82387
1,06/07/12,Rockville,MD,United States,1,1,0,-77.15118,39.08196
1,08/30/11,Salt Lake City,UT,United States,1,1,0,-111.88822,40.76031
1,11/07/08,Seattle,WA,United States,1,1,0,-122.32945,47.60357
1,01/16/09,Shippensburg,PA,United States,1,1,0,-77.51692,40.05194
1,04/11/13,Silver Spring,MD,United States,1,2,0,-77.02914,38.99693
1,01/01/07,Washington,DC,United States,1,21,1,-77.03196,38.89037
